date,return_5d,return_10d,return_20d,dist_from_ma20,dist_from_ma50,volatility_10d,volume_ratio,consecutive_up
2021-09-08,-0.001439586033909479,0.006562987463925474,0.01859122098561139,0.007271167243088746,0.023278160070978254,0.004221781272493745,0.9634898900007177,0
2021-09-09,-0.006241788590435338,0.00015590847410806852,0.011717415543115228,0.0023776616087370227,0.017915179028001597,0.004456068910862087,0.9824219372271116,0
2021-09-10,-0.01710093447815797,-0.0018374934190179548,0.0007414181742644299,-0.005562091885459119,0.009094316384193408,0.004781107264048755,1.4611568175091514,0
2021-09-13,-0.014346273506900653,-0.008151249696742413,0.0014799238178484497,-0.003090755241969599,0.010936876437092295,0.003742399194375385,1.3130730334995244,1
2021-09-14,-0.0161474976525795,-0.017822835903693268,-0.006264209432738976,-0.008160552969018247,0.005005923492077795,0.003501420882863771,1.2219089206565739,0
2021-09-15,-0.006719687930859641,-0.008149600395871648,0.008647888635889611,-0.0003046750995389799,0.012715245185430893,0.004754769004942116,1.2447077897433034,1
2021-09-16,-0.004031444644399529,-0.010248069809650429,0.018192998307448693,-0.0027787801016051616,0.010528902612567595,0.004735601676260619,1.2401523161054218,0
2021-09-17,-0.00589514625232801,-0.02289526822068566,0.006716127710011177,-0.012817754330260353,0.00014782252277767405,0.005214182953967653,1.850270791055798,0
2021-09-20,-0.02496626357989351,-0.0389543642410316,-0.01788491634844258,-0.028419572046828268,-0.01652496359911374,0.006831616007486891,2.4218714362551514,0
2021-09-21,-0.020602005237206344,-0.036416832058579596,-0.02736846964836559,-0.02800991419899251,-0.017362467066424435,0.006897738949980574,1.3105004217912843,0
2021-09-22,-0.0192400405407116,-0.02583044140336066,-0.019436978802553018,-0.01757261245100536,-0.007941564180316283,0.008100972544260367,1.3871601545648637,1
2021-09-23,-0.005747580169406352,-0.009755853762513644,-0.009601466308679307,-0.00515662858515404,0.0037329078968592585,0.009296644873905477,1.010833620842787,2
2021-09-24,0.005686366877492022,-0.00024230133922309438,-0.0020793495311247634,-0.0034145002630110175,0.0049060665522823975,0.008989193804441221,0.8192954564151423,3
2021-09-27,0.01981384671561548,-0.00564709458391166,-0.013752313402639493,-0.005576691054588755,0.001456285894557286,0.008981967556449387,0.8183109561899474,0
2021-09-28,0.00020745345604655796,-0.020398825738347726,-0.037858096718278444,-0.023744730512466363,-0.01917351855541208,0.010881442722866324,1.6489794153643376,0
